name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
mRNA_5118,scaffold_7,+,889337,890924,889337,890924,1,"889337,","890924,",0,gene_5118,cmpl,cmpl,"0,"
mRNA_5113,scaffold_7,+,877873,878879,877873,878879,3,"877873,878221,878867,","878150,878802,878879,",0,gene_5113,cmpl,cmpl,"0,1,0,"
mRNA_5110,scaffold_7,-,872321,874244,872321,874244,1,"872321,","874244,",0,gene_5110,cmpl,cmpl,"0,"
mRNA_5106,scaffold_7,-,866147,867556,866147,867556,2,"866147,866252,","866157,867556,",0,gene_5106,cmpl,cmpl,"2,0,"
mRNA_5103,scaffold_7,-,857658,858924,857658,858924,1,"857658,","858924,",0,gene_5103,cmpl,cmpl,"0,"
mRNA_5101,scaffold_7,-,851728,853555,851728,853555,1,"851728,","853555,",0,gene_5101,cmpl,cmpl,"0,"
mRNA_5093,scaffold_7,+,841895,842867,841895,842867,1,"841895,","842867,",0,gene_5093,cmpl,cmpl,"0,"
mRNA_5084,scaffold_7,-,824801,825539,824801,825539,1,"824801,","825539,",0,gene_5084,cmpl,cmpl,"0,"
mRNA_5072,scaffold_7,+,804874,808429,804874,808429,3,"804874,807103,807996,","807045,807502,808429,",0,gene_5072,cmpl,cmpl,"0,2,2,"
mRNA_5055,scaffold_7,+,771889,773176,771889,773176,1,"771889,","773176,",0,gene_5055,cmpl,cmpl,"0,"
mRNA_5046,scaffold_7,+,760524,761811,760524,761811,1,"760524,","761811,",0,gene_5046,cmpl,cmpl,"0,"
mRNA_5042,scaffold_7,-,752721,754023,752721,754023,1,"752721,","754023,",0,gene_5042,cmpl,cmpl,"0,"
mRNA_5038,scaffold_7,-,743782,744577,743782,744577,1,"743782,","744577,",0,gene_5038,cmpl,cmpl,"0,"
mRNA_4953,scaffold_7,-,580954,582187,580954,582187,1,"580954,","582187,",0,gene_4953,cmpl,cmpl,"0,"
mRNA_4931,scaffold_7,+,524782,526963,524782,526963,1,"524782,","526963,",0,gene_4931,cmpl,cmpl,"0,"
mRNA_4930,scaffold_7,-,522137,524636,522137,524636,1,"522137,","524636,",0,gene_4930,cmpl,cmpl,"0,"
mRNA_4928,scaffold_7,-,514973,515492,514973,515492,1,"514973,","515492,",0,gene_4928,cmpl,cmpl,"0,"
mRNA_4923,scaffold_7,+,506454,507881,506454,507881,2,"506454,506907,","506863,507881,",0,gene_4923,cmpl,cmpl,"0,1,"
mRNA_4913,scaffold_7,-,489653,492462,489653,492462,5,"489653,491278,491573,491869,492142,","491249,491538,491840,492096,492462,",0,gene_4913,cmpl,cmpl,"0,1,1,2,0,"
mRNA_4910,scaffold_7,-,484829,486403,484829,486403,2,"484829,485675,","485361,486403,",0,gene_4910,cmpl,cmpl,"2,0,"
mRNA_4904,scaffold_7,-,471765,472218,471765,472218,1,"471765,","472218,",0,gene_4904,cmpl,cmpl,"0,"
mRNA_4861,scaffold_7,-,352992,354873,352992,354873,1,"352992,","354873,",0,gene_4861,cmpl,cmpl,"0,"
mRNA_4846,scaffold_7,-,314131,316723,314131,316723,1,"314131,","316723,",0,gene_4846,cmpl,cmpl,"0,"
mRNA_4825,scaffold_7,+,261071,262229,261071,262229,1,"261071,","262229,",0,gene_4825,cmpl,cmpl,"0,"
mRNA_4823,scaffold_7,-,257942,259463,257942,259463,1,"257942,","259463,",0,gene_4823,cmpl,cmpl,"0,"
mRNA_4819,scaffold_7,+,251283,252957,251283,252957,1,"251283,","252957,",0,gene_4819,cmpl,cmpl,"0,"
mRNA_4817,scaffold_7,+,246445,247663,246445,247663,1,"246445,","247663,",0,gene_4817,cmpl,cmpl,"0,"
mRNA_4808,scaffold_7,+,230108,230621,230108,230621,1,"230108,","230621,",0,gene_4808,cmpl,cmpl,"0,"
mRNA_4806,scaffold_7,-,224335,226096,224335,226096,1,"224335,","226096,",0,gene_4806,cmpl,cmpl,"0,"
mRNA_4801,scaffold_7,-,213092,214475,213092,214475,1,"213092,","214475,",0,gene_4801,cmpl,cmpl,"0,"
mRNA_4793,scaffold_7,-,198157,201241,198157,201241,1,"198157,","201241,",0,gene_4793,cmpl,cmpl,"0,"
mRNA_4777,scaffold_7,+,162991,164992,162991,164992,1,"162991,","164992,",0,gene_4777,cmpl,cmpl,"0,"
mRNA_4776,scaffold_7,-,162005,162761,162005,162761,1,"162005,","162761,",0,gene_4776,cmpl,cmpl,"0,"
mRNA_4767,scaffold_7,+,145753,147769,145753,147769,1,"145753,","147769,",0,gene_4767,cmpl,cmpl,"0,"
mRNA_4766,scaffold_7,+,142642,144448,142642,144448,1,"142642,","144448,",0,gene_4766,cmpl,cmpl,"0,"
mRNA_4754,scaffold_7,-,111908,112594,111908,112594,2,"111908,112026,","111922,112594,",0,gene_4754,cmpl,cmpl,"1,0,"
mRNA_4739,scaffold_7,-,85334,86303,85334,86303,1,"85334,","86303,",0,gene_4739,cmpl,cmpl,"0,"
mRNA_4723,scaffold_7,+,57526,58997,57526,58997,2,"57526,58373,","57718,58997,",0,gene_4723,cmpl,cmpl,"0,0,"
mRNA_4699,scaffold_7,-,10039,17178,10039,17178,2,"10039,17105,","16842,17178,",0,gene_4699,cmpl,cmpl,"1,0,"
mRNA_5090,scaffold_7,-,833210,835262,833210,835262,1,"833210,","835262,",0,gene_5090,cmpl,cmpl,"0,"
mRNA_5054,scaffold_7,-,771335,771665,771335,771665,1,"771335,","771665,",0,gene_5054,cmpl,cmpl,"0,"
mRNA_5036,scaffold_7,-,739958,740819,739958,740819,1,"739958,","740819,",0,gene_5036,cmpl,cmpl,"0,"
mRNA_5035,scaffold_7,-,738030,738891,738030,738891,1,"738030,","738891,",0,gene_5035,cmpl,cmpl,"0,"
mRNA_5034,scaffold_7,-,736176,737606,736176,737606,3,"736176,736323,737585,","736202,737521,737606,",0,gene_5034,cmpl,cmpl,"1,0,0,"
mRNA_5033,scaffold_7,+,735098,736094,735098,736094,1,"735098,","736094,",0,gene_5033,cmpl,cmpl,"0,"
mRNA_5012,scaffold_7,-,694492,696028,694492,696028,1,"694492,","696028,",0,gene_5012,cmpl,cmpl,"0,"
mRNA_5009,scaffold_7,-,689631,690984,689631,690984,1,"689631,","690984,",0,gene_5009,cmpl,cmpl,"0,"
mRNA_5001,scaffold_7,+,678785,679763,678785,679763,1,"678785,","679763,",0,gene_5001,cmpl,cmpl,"0,"
mRNA_4990,scaffold_7,-,658438,659830,658438,659830,1,"658438,","659830,",0,gene_4990,cmpl,cmpl,"0,"
mRNA_4989,scaffold_7,-,656034,657423,656034,657423,1,"656034,","657423,",0,gene_4989,cmpl,cmpl,"0,"
mRNA_4972,scaffold_7,+,618381,620364,618381,620364,1,"618381,","620364,",0,gene_4972,cmpl,cmpl,"0,"
mRNA_4949,scaffold_7,-,562764,566022,562764,566022,1,"562764,","566022,",0,gene_4949,cmpl,cmpl,"0,"
mRNA_4947,scaffold_7,+,557413,558196,557413,558196,1,"557413,","558196,",0,gene_4947,cmpl,cmpl,"0,"
mRNA_4925,scaffold_7,-,510049,511555,510049,511555,1,"510049,","511555,",0,gene_4925,cmpl,cmpl,"0,"
mRNA_4877,scaffold_7,+,400717,402826,400717,402826,1,"400717,","402826,",0,gene_4877,cmpl,cmpl,"0,"
mRNA_4875,scaffold_7,+,393763,399390,393763,399390,5,"393763,394999,397470,398063,398142,","394683,397437,398030,398087,399390,",0,gene_4875,cmpl,cmpl,"0,2,1,0,0,"
mRNA_4872,scaffold_7,+,387103,388252,387103,388252,1,"387103,","388252,",0,gene_4872,cmpl,cmpl,"0,"
mRNA_4867,scaffold_7,+,373378,374647,373378,374647,1,"373378,","374647,",0,gene_4867,cmpl,cmpl,"0,"
mRNA_4854,scaffold_7,+,335926,336583,335926,336583,1,"335926,","336583,",0,gene_4854,cmpl,cmpl,"0,"
mRNA_4848,scaffold_7,+,320789,322142,320789,322142,1,"320789,","322142,",0,gene_4848,cmpl,cmpl,"0,"
mRNA_4840,scaffold_7,+,303337,304972,303337,304972,1,"303337,","304972,",0,gene_4840,cmpl,cmpl,"0,"
mRNA_4831,scaffold_7,+,283419,283992,283419,283992,1,"283419,","283992,",0,gene_4831,cmpl,cmpl,"0,"
mRNA_4826,scaffold_7,-,263435,264749,263435,264749,1,"263435,","264749,",0,gene_4826,cmpl,cmpl,"0,"
mRNA_4822,scaffold_7,-,256747,257500,256747,257500,1,"256747,","257500,",0,gene_4822,cmpl,cmpl,"0,"
mRNA_4811,scaffold_7,+,233299,235069,233299,235069,1,"233299,","235069,",0,gene_4811,cmpl,cmpl,"0,"
mRNA_4809,scaffold_7,+,231703,232282,231703,232282,1,"231703,","232282,",0,gene_4809,cmpl,cmpl,"0,"
mRNA_4780,scaffold_7,-,167725,170161,167725,170161,1,"167725,","170161,",0,gene_4780,cmpl,cmpl,"0,"
mRNA_4770,scaffold_7,-,154168,155110,154168,155110,1,"154168,","155110,",0,gene_4770,cmpl,cmpl,"0,"
mRNA_4758,scaffold_7,-,123269,126629,123269,126629,1,"123269,","126629,",0,gene_4758,cmpl,cmpl,"0,"
mRNA_4744,scaffold_7,+,92545,95479,92545,95479,1,"92545,","95479,",0,gene_4744,cmpl,cmpl,"0,"
mRNA_4741,scaffold_7,+,88410,89283,88410,89283,1,"88410,","89283,",0,gene_4741,cmpl,cmpl,"0,"
mRNA_4729,scaffold_7,-,64528,66237,64528,66237,3,"64528,64633,64923,","64564,64894,66237,",0,gene_4729,cmpl,cmpl,"0,0,0,"
mRNA_4710,scaffold_7,+,36563,39074,36563,39074,1,"36563,","39074,",0,gene_4710,cmpl,cmpl,"0,"
mRNA_4709,scaffold_7,+,33464,35525,33464,35525,1,"33464,","35525,",0,gene_4709,cmpl,cmpl,"0,"
mRNA_4701,scaffold_7,-,19106,20672,19106,20672,1,"19106,","20672,",0,gene_4701,cmpl,cmpl,"0,"
mRNA_4700,scaffold_7,+,17753,18891,17753,18891,2,"17753,18871,","18819,18891,",0,gene_4700,cmpl,cmpl,"0,1,"
mRNA_5127,scaffold_7,-,924974,925961,925295,925839,1,"924974,","925961,",0,gene_5127,cmpl,cmpl,"0,"
mRNA_5126,scaffold_7,+,907238,908631,907554,908529,1,"907238,","908631,",0,gene_5126,cmpl,cmpl,"0,"
mRNA_5123,scaffold_7,+,902088,903038,902102,902915,1,"902088,","903038,",0,gene_5123,cmpl,cmpl,"0,"
mRNA_5108,scaffold_7,+,869865,871372,869963,871292,1,"869865,","871372,",0,gene_5108,cmpl,cmpl,"0,"
mRNA_5107,scaffold_7,+,867764,869820,867788,869735,1,"867764,","869820,",0,gene_5107,cmpl,cmpl,"0,"
mRNA_5104,scaffold_7,+,859848,862009,859997,861911,1,"859848,","862009,",0,gene_5104,cmpl,cmpl,"0,"
mRNA_5098,scaffold_7,-,846647,848468,846679,848443,1,"846647,","848468,",0,gene_5098,cmpl,cmpl,"0,"
mRNA_5097,scaffold_7,+,845494,846647,845607,846513,1,"845494,","846647,",0,gene_5097,cmpl,cmpl,"0,"
mRNA_5096,scaffold_7,-,844323,845382,844443,845295,1,"844323,","845382,",0,gene_5096,cmpl,cmpl,"0,"
mRNA_5095,scaffold_7,+,843616,844396,843739,844294,1,"843616,","844396,",0,gene_5095,cmpl,cmpl,"0,"
mRNA_5092,scaffold_7,-,837140,841138,837549,841068,1,"837140,","841138,",0,gene_5092,cmpl,cmpl,"0,"
mRNA_5091,scaffold_7,-,835768,837140,836054,837062,1,"835768,","837140,",0,gene_5091,cmpl,cmpl,"0,"
mRNA_5086,scaffold_7,-,827423,828407,827532,828138,1,"827423,","828407,",0,gene_5086,cmpl,cmpl,"0,"
mRNA_5070,scaffold_7,+,799581,802742,799805,802427,1,"799581,","802742,",0,gene_5070,cmpl,cmpl,"0,"
mRNA_5069,scaffold_7,+,797525,799581,797734,799324,1,"797525,","799581,",0,gene_5069,cmpl,cmpl,"0,"
mRNA_5067,scaffold_7,-,794350,795351,794544,795198,1,"794350,","795351,",0,gene_5067,cmpl,cmpl,"0,"
mRNA_5065,scaffold_7,+,788406,789992,788524,789895,1,"788406,","789992,",0,gene_5065,cmpl,cmpl,"0,"
mRNA_5064,scaffold_7,+,786616,788124,786687,787897,2,"786616,787074,","786737,788124,",0,gene_5064,cmpl,cmpl,"0,2,"
mRNA_5063,scaffold_7,+,783945,786414,784390,786310,1,"783945,","786414,",0,gene_5063,cmpl,cmpl,"0,"
mRNA_5047,scaffold_7,-,761935,763035,762048,762959,2,"761935,762650,","762297,763035,",0,gene_5047,cmpl,cmpl,"0,0,"
mRNA_5040,scaffold_7,+,751129,751934,751194,751674,1,"751129,","751934,",0,gene_5040,cmpl,cmpl,"0,"
mRNA_5015,scaffold_7,-,698869,699804,699041,699635,1,"698869,","699804,",0,gene_5015,cmpl,cmpl,"0,"
mRNA_5005,scaffold_7,+,684152,684666,684225,684486,1,"684152,","684666,",0,gene_5005,cmpl,cmpl,"0,"
mRNA_4997,scaffold_7,-,670868,672951,671047,672826,1,"670868,","672951,",0,gene_4997,cmpl,cmpl,"0,"
mRNA_4986,scaffold_7,+,651246,652407,651440,652337,1,"651246,","652407,",0,gene_4986,cmpl,cmpl,"0,"
mRNA_4984,scaffold_7,+,643995,646248,644009,646106,1,"643995,","646248,",0,gene_4984,cmpl,cmpl,"0,"
mRNA_4977,scaffold_7,-,628975,630425,629063,630167,1,"628975,","630425,",0,gene_4977,cmpl,cmpl,"0,"
mRNA_4973,scaffold_7,+,621548,622110,621597,621937,2,"621548,621697,","621615,622110,",0,gene_4973,cmpl,cmpl,"0,0,"
mRNA_4959,scaffold_7,-,595997,596792,596039,596713,3,"595997,596611,596710,","596457,596622,596792,",0,gene_4959,cmpl,cmpl,"2,0,0,"
mRNA_4954,scaffold_7,-,584128,585531,584521,585079,1,"584128,","585531,",0,gene_4954,cmpl,cmpl,"0,"
mRNA_4952,scaffold_7,+,575591,580963,575941,580810,1,"575591,","580963,",0,gene_4952,cmpl,cmpl,"0,"
mRNA_4948,scaffold_7,-,558579,561258,558579,561258,1,"558579,","561258,",0,gene_4948,cmpl,cmpl,"0,"
mRNA_4941,scaffold_7,+,543584,544783,544073,544673,2,"543584,544068,","543641,544783,",0,gene_4941,cmpl,cmpl,"-1,0,"
mRNA_4921,scaffold_7,+,502445,504735,502726,504322,4,"502445,503234,503431,503921,","503129,503401,503888,504735,",0,gene_4921,cmpl,cmpl,"0,1,0,1,"
mRNA_4920,scaffold_7,+,501999,502358,502013,502300,1,"501999,","502358,",0,gene_4920,cmpl,cmpl,"0,"
mRNA_4918,scaffold_7,+,498779,499532,499157,499348,1,"498779,","499532,",0,gene_4918,cmpl,cmpl,"0,"
mRNA_4899,scaffold_7,+,458612,460408,458655,460364,2,"458612,459285,","458863,460408,",0,gene_4899,cmpl,cmpl,"0,1,"
mRNA_4895,scaffold_7,-,448973,452113,449074,451825,1,"448973,","452113,",0,gene_4895,cmpl,cmpl,"0,"
mRNA_4892,scaffold_7,+,441505,444104,441685,444041,3,"441505,441773,442647,","441746,442574,444104,",0,gene_4892,cmpl,cmpl,"0,1,1,"
mRNA_4891,scaffold_7,-,441041,441505,441110,441377,1,"441041,","441505,",0,gene_4891,cmpl,cmpl,"0,"
mRNA_4881,scaffold_7,-,409407,410078,409500,409806,1,"409407,","410078,",0,gene_4881,cmpl,cmpl,"0,"
mRNA_4880,scaffold_7,+,406113,409407,406447,409402,1,"406113,","409407,",0,gene_4880,cmpl,cmpl,"0,"
mRNA_4876,scaffold_7,+,399570,400569,399762,400452,2,"399570,399862,","399778,400569,",0,gene_4876,cmpl,cmpl,"0,1,"
mRNA_4866,scaffold_7,+,369279,371261,369363,370917,1,"369279,","371261,",0,gene_4866,cmpl,cmpl,"0,"
mRNA_4865,scaffold_7,+,367226,369106,367270,368707,1,"367226,","369106,",0,gene_4865,cmpl,cmpl,"0,"
mRNA_4860,scaffold_7,-,348572,352735,348740,352688,1,"348572,","352735,",0,gene_4860,cmpl,cmpl,"0,"
mRNA_4852,scaffold_7,-,331268,333587,331540,333370,1,"331268,","333587,",0,gene_4852,cmpl,cmpl,"0,"
mRNA_4842,scaffold_7,-,307372,309218,307387,309115,1,"307372,","309218,",0,gene_4842,cmpl,cmpl,"0,"
mRNA_4841,scaffold_7,+,305138,307372,305224,307303,1,"305138,","307372,",0,gene_4841,cmpl,cmpl,"0,"
mRNA_4829,scaffold_7,-,274897,277649,275027,277409,1,"274897,","277649,",0,gene_4829,cmpl,cmpl,"0,"
mRNA_4827,scaffold_7,-,270530,270809,270605,270766,1,"270530,","270809,",0,gene_4827,cmpl,cmpl,"0,"
mRNA_4805,scaffold_7,-,223142,224206,223223,224012,1,"223142,","224206,",0,gene_4805,cmpl,cmpl,"0,"
mRNA_4804,scaffold_7,-,222481,223142,222679,222955,1,"222481,","223142,",0,gene_4804,cmpl,cmpl,"0,"
mRNA_4803,scaffold_7,-,218003,222254,218072,221762,2,"218003,221864,","221766,222254,",0,gene_4803,cmpl,cmpl,"0,-1,"
mRNA_4802,scaffold_7,+,214511,218019,214951,217930,2,"214511,214673,","214642,218019,",0,gene_4802,cmpl,cmpl,"-1,0,"
mRNA_4798,scaffold_7,-,206206,206952,206217,206831,2,"206206,206813,","206685,206952,",0,gene_4798,cmpl,cmpl,"0,0,"
mRNA_4797,scaffold_7,-,204572,206071,204630,205929,1,"204572,","206071,",0,gene_4797,cmpl,cmpl,"0,"
mRNA_4786,scaffold_7,-,181539,183823,181793,183452,1,"181539,","183823,",0,gene_4786,cmpl,cmpl,"0,"
mRNA_4783,scaffold_7,-,176495,178983,176613,178785,1,"176495,","178983,",0,gene_4783,cmpl,cmpl,"0,"
mRNA_4775,scaffold_7,+,161461,161903,161523,161775,1,"161461,","161903,",0,gene_4775,cmpl,cmpl,"0,"
mRNA_4774,scaffold_7,-,158846,161449,159106,161077,1,"158846,","161449,",0,gene_4774,cmpl,cmpl,"0,"
mRNA_4773,scaffold_7,-,157702,158846,157766,158804,1,"157702,","158846,",0,gene_4773,cmpl,cmpl,"0,"
mRNA_4764,scaffold_7,+,137659,140723,137723,140594,1,"137659,","140723,",0,gene_4764,cmpl,cmpl,"0,"
mRNA_4763,scaffold_7,+,135591,137659,135775,137173,1,"135591,","137659,",0,gene_4763,cmpl,cmpl,"0,"
mRNA_4762,scaffold_7,-,133676,135068,133939,134668,2,"133676,133874,","133702,135068,",0,gene_4762,cmpl,cmpl,"-1,0,"
mRNA_4761,scaffold_7,+,131953,133758,132025,133582,1,"131953,","133758,",0,gene_4761,cmpl,cmpl,"0,"
mRNA_4756,scaffold_7,-,115672,117374,115781,117275,1,"115672,","117374,",0,gene_4756,cmpl,cmpl,"0,"
mRNA_4749,scaffold_7,-,104421,105121,104543,104837,1,"104421,","105121,",0,gene_4749,cmpl,cmpl,"0,"
mRNA_4746,scaffold_7,-,100187,101245,100336,100960,1,"100187,","101245,",0,gene_4746,cmpl,cmpl,"0,"
mRNA_4731,scaffold_7,-,68977,71829,69071,71414,1,"68977,","71829,",0,gene_4731,cmpl,cmpl,"0,"
mRNA_4730,scaffold_7,-,66693,68503,66738,68373,1,"66693,","68503,",0,gene_4730,cmpl,cmpl,"0,"
mRNA_4714,scaffold_7,+,42710,44301,42877,44179,1,"42710,","44301,",0,gene_4714,cmpl,cmpl,"0,"
mRNA_4702,scaffold_7,-,20932,21520,21093,21426,1,"20932,","21520,",0,gene_4702,cmpl,cmpl,"0,"
mRNA_4980,scaffold_7,+,635099,635864,635147,635864,2,"635099,635392,","635305,635864,",0,gene_4980,cmpl,cmpl,"0,2,"
mRNA_4978,scaffold_7,+,630408,632907,630549,632907,2,"630408,632062,","631966,632907,",0,gene_4978,cmpl,cmpl,"0,1,"
mRNA_4893,scaffold_7,-,444104,446741,444197,446741,3,"444104,444624,446533,","444351,446404,446741,",0,gene_4893,cmpl,cmpl,"2,1,0,"
mRNA_4830,scaffold_7,-,277625,282005,277730,282005,5,"277625,278333,280525,281210,281546,","278252,280306,281039,281474,282005,",0,gene_4830,cmpl,cmpl,"0,1,0,0,0,"
mRNA_4818,scaffold_7,+,247879,248898,247926,248898,2,"247879,248445,","248379,248898,",0,gene_4818,cmpl,cmpl,"0,0,"
mRNA_5071,scaffold_7,-,802717,803737,802868,803634,2,"802717,803615,","803233,803737,",0,gene_5071,cmpl,cmpl,"1,0,"
mRNA_4908,scaffold_7,+,480217,482796,480501,482796,2,"480217,482452,","482422,482796,",0,gene_4908,cmpl,cmpl,"0,1,"
